date,rainfall
20250101,0.0
20250102,0.0
20250103,0.0
20250104,0.0
20250105,0.0
20250106,0.0
20250107,0.0
20250108,0.0
20250109,0.0
20250110,0.0
20250111,0.0
20250112,0.0
20250113,0.0
20250114,0.0
20250115,0.0
20250116,0.0
20250117,0.0
20250118,0.0
20250119,0.0
20250120,0.0
20250121,0.0
20250122,0.0
20250123,0.0
20250124,0.0
20250125,0.0
20250126,0.0
20250127,0.0
20250128,0.0
20250129,0.0
20250130,0.0
20250131,0.0
20250201,0.0
20250202,0.0
20250203,0.0
20250204,0.0
20250205,0.0
20250206,0.0
20250207,0.0
20250208,0.0
20250209,0.0
20250210,0.0
20250211,0.0
20250212,0.0
20250213,0.0
20250214,0.0
20250215,0.0
20250216,0.0
20250217,0.0
20250218,0.0
20250219,0.0
20250220,0.0
20250221,0.0
20250222,0.0
20250223,0.0
20250224,0.0
20250225,0.0
20250226,0.05
20250227,0.0
20250228,0.07
20250301,0.0
20250302,0.0
20250303,0.0
20250304,0.0
20250305,0.0
20250306,0.0
20250307,0.0
20250308,0.0
20250309,0.0
20250310,0.0
20250311,0.0
20250312,0.0
20250313,0.0
20250314,0.0
20250315,0.0
20250316,0.0
20250317,0.0
20250318,0.0
20250319,0.0
20250320,0.0
20250321,0.0
20250322,0.0
20250323,0.0
20250324,0.0
20250325,0.0
20250326,0.0
20250327,0.0
20250328,0.0
20250329,0.0
20250330,0.0
20250331,0.0
20250401,0.0
20250402,0.0
20250403,0.0
20250404,0.0
20250405,0.0
20250406,0.0
20250407,0.0
20250408,0.02
20250409,0.0
20250410,0.0
20250411,0.0
20250412,0.0
20250413,0.0
20250414,0.0
20250415,0.0
20250416,0.0
20250417,0.0
20250418,0.0
20250419,0.0
20250420,0.0
20250421,0.0
20250422,0.0
20250423,0.0
20250424,0.0
20250425,0.0
20250426,0.0
20250427,0.0
20250428,0.0
20250429,0.0
20250430,0.0
20250501,0.0
20250502,0.0
20250503,0.0
20250504,0.0
20250505,0.0
20250506,0.0
20250507,0.0
20250508,0.0
20250509,0.0
20250510,0.0
20250511,0.0
20250512,0.0
20250513,0.0
20250514,0.01
20250515,0.87
20250516,1.29
20250517,0.21
20250518,0.0
20250519,0.0
20250520,0.0
20250521,0.26
20250522,0.01
20250523,0.0
20250524,0.0
20250525,0.03
20250526,0.0
20250527,0.05
20250528,0.8
20250529,0.23
20250530,0.11
20250531,0.0
20250601,0.03
20250602,0.12
20250603,8.5
20250604,0.08
20250605,0.0
20250606,0.0
20250607,0.01
20250608,0.45
20250609,0.53
20250610,0.0
20250611,0.0
20250612,0.0
20250613,0.0
20250614,0.07
20250615,2.67
20250616,0.0
20250617,0.0
20250618,0.0
20250619,0.03
20250620,0.02
20250621,0.02
20250622,0.02
20250623,0.0
20250624,0.01
20250625,0.0
20250626,0.0
20250627,0.0
20250628,0.02
20250629,6.17
20250630,2.37
20250701,3.74
20250702,0.46
20250703,0.19
20250704,0.41
20250705,5.75
20250706,0.91
20250707,0.46
20250708,0.18
20250709,0.38
20250710,0.15
20250711,2.92
20250712,0.75
20250713,15.0
20250714,0.08
20250715,0.0
20250716,0.02
20250717,1.57
20250718,4.47
20250719,0.87
20250720,0.73
20250721,3.09
20250722,2.02
20250723,5.58
20250724,8.77
20250725,4.97
20250726,0.77
20250727,1.13
20250728,3.36
20250729,0.16
20250730,0.34
20250731,3.76
20250801,3.23
20250802,0.02
20250803,0.15
20250804,2.16
20250805,0.79
20250806,1.24
20250807,3.73
20250808,0.89
20250809,2.98
20250810,0.26
20250811,2.71
20250812,2.82
20250813,40.12
20250814,4.45
20250815,6.02
20250816,1.2
20250817,4.32
20250818,1.67
20250819,1.46
20250820,2.08
20250821,0.61
20250822,0.88
20250823,3.52
20250824,5.8
20250825,5.57
20250826,1.01
20250827,0.5
20250828,0.0
20250829,0.0
20250830,7.35
20250831,0.18
20250901,0.06
20250902,1.44
20250903,1.19
20250904,1.34
20250905,0.66
20250906,0.65
20250907,0.02
20250908,1.82
20250909,3.56
20250910,3.73
20250911,2.41
20250912,0.06
20250913,7.3
20250914,2.77
20250915,0.46
20250916,3.68
20250917,0.84
20250918,0.01
20250919,0.2
20250920,0.08
20250921,0.0
20250922,0.01
20250923,1.38
20250924,6.21
20250925,10.69
20250926,5.34
20250927,6.84
20250928,0.0
20250929,0.01
20250930,0.0
20251001,0.03
20251002,0.48
20251003,0.04
20251004,0.0
20251005,6.2
20251006,10.84
20251007,0.4
20251008,0.0
20251009,0.13
20251010,4.54
20251011,0.47
20251012,0.01
20251013,0.19
20251014,0.0
20251015,0.0
20251016,0.0
20251017,0.0
20251018,0.0
20251019,0.0
20251020,0.0
20251021,0.0
20251022,0.0
20251023,0.0
20251024,0.0
20251025,0.0
20251026,0.0
20251027,0.0
20251028,0.0
20251029,0.0
20251030,0.0
20251031,0.0
20251101,0.0
20251102,0.0
20251103,0.0
20251104,0.0
20251105,0.0
20251106,0.0
20251107,0.0
20251108,0.0
20251109,0.0
20251110,0.0
20251111,0.0
20251112,0.0
20251113,0.0
20251114,0.0
20251115,0.0
20251116,0.0
20251117,0.0
20251118,0.0
20251119,0.0
20251120,0.0
20251121,0.0
20251122,0.0
20251123,0.0
20251124,0.0
20251125,0.0
20251126,0.0
20251127,0.0
20251128,0.0
20251129,0.0
20251130,0.0
20251201,0.0
20251202,0.0
20251203,0.0
20251204,0.0
20251205,0.0
20251206,0.0
20251207,0.0
20251208,0.0
20251209,0.0
20251210,0.0
20251211,0.0
20251212,0.0
20251213,0.0
20251214,0.0
20251215,0.0
20251216,0.0
20251217,0.0
20251218,0.0
20251219,0.0
20251220,0.0
20251221,0.0
20251222,0.0
20251223,0.0
20251224,0.0
20251225,0.0
20251226,0.0
20251227,0.0
20251228,0.0
20251229,0.0
20251230,0.0
20251231,0.0
